"Plot_code","Fire_interval","conifer_total_Mg_ha","cfl_Mg_ha","cbd_kg_m3","potr_total_Mg_ha","saps_pico_total_Mg_ha","snag_1h_Mg_ha","snag_10h_Mg_ha","snag_100h_Mg_ha","snag_1000h_Mg_ha","snag_total_Mg_ha","shrub_total_Mg_ha","litter_Mg_ha","duff_Mg_ha","bm_1h_Mg_ha","bm_10h_Mg_ha","bm_100h_Mg_ha","bm_1000h_sound_Mg_ha","bm_1000h_rotten_Mg_ha"
"Astringent_Tern_1_2_long_2","Long",63.635200191946,16.3846477149217,0.535287376413544,0,0.197436012302475,0,0,0.23761645751143,4.39951363954268,4.63713009705411,0.0773532,5.78973333333333,28.6152411213354,0.0267741118604907,2.13561287803397,3.46645420936169,41.7667502213751,76.0617056849682
"Astringent_Tern_1_2_short_0","Short",1.58704089720892,0.446431164506205,0.0173576574826356,0,0.0124243991945388,0,0,0,4.04521247099003,4.04521247099003,0.02085192,0.937066666666667,5.10986448595276,0,0,1.21170821730404,11.6612598984115,56.9208931501203
"Clover_Dewdrop_2_3_long_1","Long",0,0,0,0,1.42986627023454e-05,0,0,0.620283298411607,78.7368018560086,79.3570851544202,0.0579384,0.568933333333333,0,0.240745013001231,2.84899853775817,1.00008597663698,22.3723076279306,1.73999235946491
"Clover_Dewdrop_2_3_short_0","Short",0,0,0,0,0.014019279491282,0,0.00926861616945758,0.262987880164094,4.24342807457139,4.51568457090494,0.0279756,0.267733333333333,0,0.0439802100899949,0.336772010943958,1.40678608148166,47.8383554868764,9.03504583286684
"Clover_East_1_1_long_1","Long",10.5036570232005,3.30192166031352,0.157585944418769,0,0.164499835845193,0,0,0.0652593352996969,21.8545767067203,21.91983604202,0.03496448,7.49414285714286,27.8719881051968,0.0842919762308628,1.44377745432353,4.05448178738565,154.298074625889,21.6978267371526
"Clover_East_1_1_short_0","Short",1.60347352903605,0.502197087099802,0.0254791826200961,0,0.109650629911314,0,0,0,0,0,0.00372,1.97453333333333,0,0.0088361186123258,1.26864905314364,2.22073608593751,30.4538054571944,26.1610217012223
"Clover_LeHardy_1_1_long_2","Long",0.703309136362992,0.288213865804165,0.01689347323052,0,0.204581171674129,0,0,0.240689310094946,33.7464845105232,33.9871738206181,0.03111456,0.669333333333333,4.08789158876221,0.100310189669332,2.25423754587225,3.58725660467433,59.4713968710081,12.6528537686875
"Clover_LeHardy_1_1_short_0","Short",2.32415877398911,0.911321349583925,0.0574403111393658,0,0.655652538364591,0,0,0.0312602983454364,7.41853381615388,7.44979411449932,0.0222684,0.7028,0.743253016138583,0.0826092908142204,0.832327017479217,4.17222105892553,56.0062920206882,26.7835679015809
"Glade_Berry_1_1_long_2","Long",0,0,0,0,0.0811431274911776,0,0.0257813730571451,4.47933627291163,36.3170343265244,40.8221519724932,0.0807672,0.0334666666666667,0,0.0130950373088821,0.167122213941008,2.99191649168086,16.4030112908827,9.86218439349448
"Glade_Berry_1_1_short_0","Short",0,0,0,0.0121210813664341,0.0292135028876764,0,0.0334769674529221,1.24563658510714,0,1.27911355256006,0.089634,0.635866666666667,0,0.0960649203517923,0.417956274871902,2.39439675595901,13.5713046267343,2.3952926638361
"Glade_Berry_4_4_long_2","Long",0,0,0,0,4.55068169505495,0,0,0.236879667231369,133.920421573024,134.157301240256,0.14436992,0.1004,0,0.0304210895525469,0.665557237984577,1.58869099806327,5.6716098505462,1.03265415242926
"Glade_Berry_4_4_short_0","Short",0,0,0,0.000177513399233647,0.0147823794517443,2.49678340750123e-05,0.337572992714794,1.02846212110138,0.382119860792221,1.74817994244247,0.00372,1.13786666666667,0,0.0653989100069244,1.16849265264649,2.98843100286477,20.4382641508908,5.96526107841714
"Hellroaring_Buffalo_3_2_long_1","Long",0,0,0,0,0.00729903790468584,0.00022067568925232,0.0956222329768362,0.0621326360653948,99.1384094640427,99.2963850087741,0.04797144,2.57693333333333,14.0289006796157,0.0263120672295451,0.335801328781525,1.00195091745297,56.4791703029212,5.21409319656401
"Hellroaring_Buffalo_3_2_short_0","Short",0,0,0,0,0.0125259943650184,0,0,4.37419511243041,3.45016338787551,7.82435850030592,0.15982224,0.9036,6.68927714524724,0,0.41996024322127,4.00979522044084,79.1944970512255,6.08477331737529
"Huck_Berry_1_2_long_2","Long",0,0,0,0,0.241404881800709,0,0,0.0233668383401678,81.9323455025403,81.9557123408804,NA,2.4096,14.4934338147024,0.150091530731427,0.0897893665672442,2.14328010043351,17.9273678981888,21.4073320020935
"Huck_Berry_1_2_short_0","Short",0,0,0,0,0.0367154456890031,0,0,7.33419676494933,5.64680199516343,12.9809987601128,NA,5.58893333333333,28.0578013592315,0.226019462679153,1.85433310645799,4.6370861245283,16.6060057706015,15.9691336949916
"Huck_Berry_2_1_long_1","Long",0,0,0,0,2.4459746065113,0,0.0201007683835043,0.445743638805698,106.443038097033,106.908882504222,NA,3.88213333333333,9.84810246383622,0.162636252604859,0.864835597679612,1.85793318047139,6.56050004556164,2.69452950319806
"Huck_Berry_2_1_short_0","Short",0,0,0,0,0.0167205715309258,0,0,4.80120037787699,9.06065534519743,13.8618557230744,NA,2.7108,45.3384339844536,0.179340993771001,1.37327736710125,7.37555667566605,9.65489539287797,17.9925273320807
"IronMtn_Derby_1_1_long_1","Long",21.3495412168041,7.93093762308136,0.361704622908706,0.000412566123037459,0.296706140730903,0,0,0,33.1275569346314,33.1275569346314,0.17297976,5.522,16.6302862361008,0.0538265010692458,0.944552905494377,3.89440602109767,36.7005951552216,19.5988310136143
"IronMtn_Derby_1_1_short_0","Short",0.74174134072408,0.270699772305825,0.0157528824996154,0.00122743376181616,0.133363891351448,0,0,0,1.63532764421951,1.63532764421951,0.1798284,2.14186666666667,3.62335845367559,0.00929703675380676,1.60179065839689,8.49664095836082,45.825718969195,11.8180808414819
"IronMtn_Derby_1_5_long_2","Long",33.1524398431064,12.8687974846995,0.647782008063313,0.00669923783578197,0.418003609139124,0,0,0.102593014441132,9.25788842834416,9.36048144278529,0.222794,6.99453333333333,6.68927714524724,0.0895907472687634,2.31534454236414,3.479804199757,43.7224368599888,0
"IronMtn_Derby_1_5_short_0","Short",0.887480594477049,0.330113221811227,0.0182134549727787,0,0.135061451643978,0,0,0,1.85044815222586,1.85044815222586,0.19950152,1.004,2.50847892946772,0,0.427839064552571,5.10627810564228,6.38421750617717,14.153355416588
"Mystic_BearpawBay_1_1_long_1","Long",27.7631795646697,10.0474274534375,0.411407811644837,0,0.465789503153135,0,0.00307824506356826,0.0694233625822376,26.5060063797524,26.5785079873982,0.05297624,2.34266666666667,0,0.0783990614592975,2.08447680294886,4.77663793551826,42.6250860900563,45.8833616354014
"Mystic_BearpawBay_1_1_short_0","Short",3.75610857727586,1.48993731052229,0.0808081012558697,0,0.131506047633253,0,0,0.0717770367400001,0,0.0717770367400001,0.00915216,0.167333333333333,0,0.23968728370673,4.42157374814009,4.97846016050362,7.63796792857328,4.63002715691793
"Mystic_BearpawBay_2_3_long_3","Long",56.8387796897548,23.70911157159,2.13504530187788,0,34.1755744432632,0,0.00290445520881663,0.325170004042923,24.376904347846,24.7049788070978,0.12103392,4.98653333333333,8.26868980454173,0.15202667529549,1.82933453662725,5.55753886011121,53.7106707376699,8.13301470452403
"Mystic_BearpawBay_2_3_short_0","Short",2.36529000294862,0.936122383810027,0.0461352276930805,0,0.179835289805098,0,0.00169037599767215,0,0.267143286475165,0.268833662472837,0.0117204,9.90613333333333,11.2417018690961,0.0524921829323561,2.67967463377947,12.7928139773985,16.3167764325144,32.7041429246941
"NFork_Cygnet_1_1_long_3","Long",1.26074317227315,0.492504757378817,0.0306275906283279,0,1.00442574344357,0,0,0,91.5867729034174,91.5867729034174,0.01113936,3.34666666666667,4.55242472384882,0.043682165224834,1.25433666031704,2.59489764984208,62.4484078876062,13.9048258272221
"NFork_Cygnet_1_1_short_0","Short",0.0299619045556827,0.0129530365560852,0.000740173517490585,0,0.34695221844615,0,0.0310983435017915,1.6360469802484,18.7783563577234,20.4455016814736,0.12157368,0.4016,5.57439762103937,0.0391102666984331,1.74697327812211,7.94293452424221,105.297476540336,18.0652097072293
"NFork_Cygnet_2_2_long_2","Long",0.907914003642005,0.360673797096579,0.0240137520152787,0,1.65059180258728,0,0,0,61.3053089481106,61.3053089481106,0.00685896,2.2088,8.82612956664567,0.16668423228789,1.00765268811951,3.00659481902219,57.4127108549089,12.8907535699049
"NFork_Cygnet_2_2_short_0","Short",0,0,0,0,0.806077398549032,0,0.0229412763268944,1.01998484810513,0.226229086299055,1.26915521073108,0.067926,2.51,6.22474401016063,0.335161473851822,2.83309398904448,9.94502991625762,97.3800784085611,24.5900897913642
"NFork_Maple_4_4_long_1","Long",0,0,0,0,4.51257154695935,0,0.00114083724085953,0.503238863617512,33.6162266213202,34.1206063221786,0.03055416,2.14186666666667,13.1927410364598,0.319194558169816,2.76226447214769,5.79433152064468,31.6245118747671,0
"NFork_Maple_4_4_short_0","Short",0,0,0,0,0.250035441758009,0,1.10287805867103,13.362375387578,0,14.465253446249,0.02457192,4.016,10.6842621069921,0.192121563062217,1.88169415464683,6.94159538909891,4.2789754913257,6.88132445233794
"NFork_Maple_6_6_long_1","Long",0,0,0,0,2.02175161560913,0.00118534978642019,0.0220682756617848,0,81.123411347806,81.1466649732542,0.02570304,6.3252,18.5813254034646,0.491691574339035,1.49935864178366,2.58482055291509,20.1403877545997,2.05081281061813
"NFork_Maple_6_6_short_0","Short",0,0,0,0,0.221322510365858,0.0142336953856914,4.50171789745393,6.43585602576529,0,10.9518076186049,0.0088668,4.18333333333333,6.5034638912126,0.139809650037707,3.34553718139815,3.59362204359854,14.0931123331551,0.308258587340271
"NFork_Owl_2_1_long_1","Long",3.91913539029307,1.45952572700873,0.0693490098991276,0,0.226268254108259,0,0,0,16.967259701312,16.967259701312,0.10455512,3.94906666666667,13.0069277824252,0.186720817657673,3.2078560916799,4.37553187879225,120.968067779721,16.2207552976279
"NFork_Owl_2_1_short_0","Short",1.37258684113173,0.554132997950722,0.0288749654402133,0,0.0269612269193271,0,0,0,0,0,0.0556968,2.07493333333333,11.7062350041827,0.0893089020409256,0.449914357921538,5.79932752210261,30.6295375145723,19.5075898596983
"Pelican_LeHardy_1_5_long_1","Long",2.13950177273265,0.747763481734824,0.0375690668526114,0,0.194774448968448,0,0,0,18.1036959355437,18.1036959355437,0.03912528,2.84466666666667,13.3785542904945,0.716731806990434,1.9973129886061,5.59675219590994,53.2608883778553,0
"Pelican_LeHardy_1_5_short_0","Short",15.3211303688612,5.62094889406353,0.303860575652365,0,0.929360379472087,0,0,0,1.7465922527665,1.7465922527665,0.01599048,1.87413333333333,12.9140211554079,0.0788979766665997,0.671277432560638,3.00439716182838,23.7589446460958,3.11409409535718
"Rathbone_BaconRind_1_5_long_1","Long",0,0,0,0,0.00136151127574843,0,0.0116433944719541,1.1213345987705,96.0410298490411,97.1740078422836,0.06253512,0.167333333333333,4.55242472384882,0.0869562151999896,0.525674581166332,1.46392150602752,26.8752321557837,3.75078509344108
"Rathbone_BaconRind_1_5_short_0","Short",0,0,0,0,0.00356167503006298,0,0.236996019131224,1.87000024671136,9.41376262026947,11.5207588861121,0.01714224,0.535466666666667,5.94602412910866,0.10526278682104,0.700899441555109,1.46392150602752,37.048413669004,7.29248702157359
"Waterfalls_Moran_1_1_long_3","Long",3.05517904950864,0.906037652148214,0.0260911767675627,0.339699107633654,0.032746360933274,0,0,0,0,0,0.10321144,16.1978666666667,45.5242472384882,0.139836807622763,5.0192805622194,11.9810669779489,32.5945630518643,95.7455238446107
"Waterfalls_Moran_1_1_short_0","Short",1.97116670129678,0.444050840558632,0.00807365164652058,0.0717300740041116,0.0152474774485893,0,0,0,0,0,0.46244416,11.4121333333333,29.0797742564221,0.052438802858536,0.41827338018495,1.59747559705985,0,28.575399197819
"Wilcox_Berry_1_1_long_2","Long",0,0,0,0,0.00116172128698495,0,0.00434087947686215,0.441267429764342,96.8122721040529,97.2578804132941,0.07422456,NA,NA,NA,NA,NA,NA,NA
"Wilcox_Berry_1_1_short_0","Short",0,0,0,0,0.000553056909360308,0,0.0973908177271583,0,2.10146554396415,2.19885636169131,0.17744,NA,NA,NA,NA,NA,NA,NA
