"Fire_interval","name","mean","se"
"Long","dead_woody_1000h_Mg_ha",115.336965237259,8.08594155028773
"Long","dead_woody_100h_Mg_ha",4.06340103247018,0.535466061288395
"Long","dead_woody_10h_Mg_ha",1.68740558173717,0.257166113268147
"Long","dead_woody_1h_Mg_ha",0.160067831250004,0.0371271003499388
"Long","prop_1000h_Mg_ha",0.944406468150866,0.00794066485049298
"Long","prop_100h_Mg_ha",0.0385856161805685,0.00611562006737983
"Long","prop_10h_Mg_ha",0.0154196709542341,0.002560823838532
"Long","prop_1h_Mg_ha",0.00158824471433124,0.000453845270447357
"Short","dead_woody_1000h_Mg_ha",51.4851547319346,7.78327565409015
"Short","dead_woody_100h_Mg_ha",6.93110446430245,1.06665714696066
"Short","dead_woody_10h_Mg_ha",1.67275950445658,0.39229548625986
"Short","dead_woody_1h_Mg_ha",0.0976236426178739,0.0200167352877986
"Short","prop_1000h_Mg_ha",0.810444247762555,0.0382574333357829
"Short","prop_100h_Mg_ha",0.145742052400712,0.0284205623252763
"Short","prop_10h_Mg_ha",0.041491103072725,0.0137591513510276
"Short","prop_1h_Mg_ha",0.00232259676400777,0.000576900708491052
