"Fire_interval","name","median","mean","se","min","max","var"
"Long","bm_1000h_rotten_Mg_ha",9.86218439349448,17.6448493140484,5.52824942392302,0,95.7455238446107,641.79237555521
"Long","bm_1000h_sound_Mg_ha",41.7667502213751,45.8587498721117,7.73035460582853,5.6716098505462,154.298074625889,1254.92602896894
"Long","bm_100h_Mg_ha",3.46645420936169,3.65706449446416,0.523624547306707,1.00008597663698,11.9810669779489,5.75783599738523
"Long","bm_10h_Mg_ha",1.49935864178366,1.67872274449601,0.258952061216278,0.0897893665672442,5.0192805622194,1.40817957017134
"Long","bm_1h_Mg_ha",0.100310189669332,0.160000877655924,0.03710372747608,0.0130950373088821,0.716731806990434,0.0289104184450035
"Long","cbd_kg_m3",0.0204536126228994,0.202425324305476,0.100826903707934,0,2.13504530187788,0.22365341924924
"Long","cfl_Mg_ha",0.324443831450372,3.5680710358734,1.39170312133368,0,23.70911157159,42.6104267144578
"Long","dead_woody_total_Mg_ha",122.026469512782,121.247839682717,7.92416018937697,58.967657792164,203.498288623002,1318.63860884504
"Long","duff_Mg_ha",9.84810246383622,12.007075510715,2.45805242354115,0,45.5242472384882,126.882456054407
"Long","litter_Mg_ha",2.84466666666667,3.83580362811792,0.795123629051801,0.0334666666666667,16.1978666666667,13.2766532950066
"Long","live_ag_total_Mg_ha",2.50566968637029,12.7260146588451,4.98090224627822,0.0552704779046858,91.135388053018,545.806518113548
"Long","saps_pico_total_Mg_ha",0.233836567954484,2.40430733494117,1.54051557623516,1.42986627023454e-05,34.1755744432632,52.2101412937096
"Long","shrub_total_Mg_ha",0.06023676,0.075108508,0.0125328828746241,0.00685896,0.222794,0.0031414630629809
"Long","snag_1000h_Mg_ha",35.0317594185238,53.877861780779,8.40632475863038,0,133.920421573024,1554.65851084637
"Long","snag_100h_Mg_ha",0.0860081885116848,0.407924305813208,0.202755109692363,0,4.47933627291163,0.904411959139964
"Long","snag_10h_Mg_ha",0,0.00848547552460596,0.00448395230465934,0,0.0956222329768362,0.000442328221950116
"Long","snag_1h_Mg_ha",0,6.3910248894205e-05,5.4333674033369e-05,0,0.00118534978642019,6.49472589472168e-08
"Long","snag_total_Mg_ha",37.4713791473359,54.2943354723657,8.41134774010497,0,134.157301240256,1556.51695770932
"Long","tree_total_Mg_ha",0.805611570002499,10.2534268620857,4.01242806873489,0,63.635200191946,354.190738148975
"Short","bm_1000h_rotten_Mg_ha",14.153355416588,16.1403607488044,2.9192159297951,0.308258587340271,56.9208931501203,178.958254540159
"Short","bm_1000h_sound_Mg_ha",20.4382641508908,32.0988523473814,6.58681084623246,0,105.297476540336,911.107619604956
"Short","bm_100h_Mg_ha",4.17222105892553,4.86091495643946,0.678561416175581,1.21170821730404,12.7928139773985,9.6693575059664
"Short","bm_10h_Mg_ha",1.16849265264649,1.37382424029374,0.250865167269821,0,4.42157374814009,1.32159997513562
"Short","bm_1h_Mg_ha",0.0788979766665997,0.0969446586550279,0.0199326051362981,0,0.335161473851822,0.00834348369791112
"Short","cbd_kg_m3",0.000370086758745293,0.0273970992690923,0.0139732025371632,0,0.303860575652365,0.00429550856118085
"Short","cfl_Mg_ha",0.0064765182780426,0.523586729944012,0.257480432955852,0,5.62094889406353,1.45851581381293
"Short","dead_woody_total_Mg_ha",56.4756781563357,60.1866423433115,7.80237952961118,20.1541287943132,153.537205998102,1278.41965280601
"Short","duff_Mg_ha",5.94602412910866,9.14024244846615,2.54327402602363,0,45.3384339844536,135.833098200376
"Short","litter_Mg_ha",1.87413333333333,2.6231492063492,0.662120959519497,0.167333333333333,11.4121333333333,9.20648746573542
"Short","live_ag_total_Mg_ha",0.686245600775432,1.71849023455705,0.73301692551285,0.0167205715309258,16.2664812283333,11.8209038879429
"Short","saps_pico_total_Mg_ha",0.0731830378001585,0.185524673009925,0.0573563924277486,0.000553056909360308,0.929360379472087,0.0723746265511698
"Short","shrub_total_Mg_ha",0.02627376,0.083992336,0.0249025536520721,0.00372,0.46244416,0.0124027435678866
"Short","snag_1000h_Mg_ha",1.690959948493,3.19391999521305,0.98247098621259,0,18.7783563577234,21.2354832524899
"Short","snag_100h_Mg_ha",0.167382458452047,1.97608998477832,0.720658263079777,0,13.362375387578,11.4256633071936
"Short","snag_10h_Mg_ha",0,0.289774152961222,0.207107450715707,0,4.50171789745393,0.943656915123096
"Short","snag_1h_Mg_ha",0,0.000648121055443928,0.000646933104174951,0,0.0142336953856914,9.20749370810364e-06
"Short","snag_total_Mg_ha",2.02465225695858,5.46043225400803,1.2812923137032,0,20.4455016814736,36.1176198494078
"Short","tree_total_Mg_ha",0.0210414929610584,1.45660889245621,0.698873563520324,0,15.3211303688612,10.7453336713271
