"Fire_interval","Species","stems_ha_min","stems_ha_max","stems_ha_mean","stems_ha_se","stems_ha_median","pres_prop"
"Long","ABLA",0,1666.66666666666,96.7171717171716,53.1196637668787,0,0.272727272727273
"Long","PIAL",0,1133.33333333333,77.0202020202019,39.8714103631985,0,0.181818181818182
"Long","PICO",33.3333333333333,197433.333333333,28188.6363636363,9560.05723389311,4733.33333333333,1
"Long","PIEN",0,5666.66666666667,285.606060606061,173.889904707806,0,0.424242424242424
"Long","POTR",0,1200,61.6161616161616,37.1864334615248,0,0.242424242424242
"Long","PSME",0,266.666666666666,31.3131313131313,12.6414050613978,0,0.242424242424242
"Long","Total",100,198266.666666667,28740.9090909091,9542.06300290918,5000,1
"Short","ABLA",0,166.666666666666,13.1313131313131,5.79158835413116,0,0.212121212121212
"Short","PIAL",0,433.333333333333,20.2020202020202,13.9849752484852,0,0.0909090909090909
"Short","PICO",25,14825,2789.89898989899,662.652029517184,1300,1
"Short","PIEN",0,300,22.979797979798,9.77863079591577,0,0.303030303030303
"Short","POTR",0,4300,383.838383838384,164.084294645811,0,0.363636363636364
"Short","PSME",0,266.666666666667,10.1010101010101,8.13977851580112,0,0.0909090909090909
"Short","Total",25,14825,3240.15151515152,664.274378660952,2000,1
