"Plot_pair","pair_diff","rel_diff","ann_def_mm_norm","summer_vpd_kpa_norm","anom_def_zscore","anom_summer_vpd_zscore"
"Arrow",75,0.272727272727273,283.003333333333,0.976,0.196973189750351,-0.242782560211774
"Astringent",75,0.75,276.875,0.949388888888889,-0.924500769805384,-0.732353424747866
"Astringent_Tern_1_2",5733.33333333334,0.644194756554308,283.433333333333,0.960777777777778,-0.884412100177611,-0.729697791536291
"Charcoal",2350,0.831858407079646,292.223333333333,0.964222222222222,-0.00320378864698219,-0.389163983596622
"Charcoal Bay",4800,0.984615384615385,292.223333333333,0.964222222222222,-0.00320378864698219,-0.389163983596622
"Clover_Dewdrop_2_3",-266.666666666667,-0.888888888888892,244.816666666667,0.892666666666667,-0.139645382040648,-0.06064622466623
"Clover_East_1_1",3566.66666666667,0.713333333333334,292.151666666667,0.966111111111111,0.0295786893420243,0.464011268492103
"Clover_LeHardy_1_1",-2766.66666666666,-0.855670103092781,250.953333333333,0.901222222222222,-0.208172996999833,-0.579821153575332
"Cygnet",13125,0.951086956521739,262.636666666667,0.931333333333333,0.0826418365346264,-0.292606584933581
"Factory Hill",200,0.470588235294118,280.083333333333,0.959444444444444,0.00777232774501716,-0.372909772550114
"Forest Lake",9050,0.752598752598753,300.54,1.03,0.0127690528887538,-0.38784076416511
"Gallatin",525,0.777777777777778,286.63,1.002,0.268754828010448,-0.259954670125304
"Glade_Berry_1_1",-766.66666666667,-0.365079365079367,305.488333333333,1.08005555555556,-0.073482572240724,0.322431197754696
"Glade_Berry_4_4",132733.333333333,0.989808600546856,305.488333333333,1.08005555555556,-0.073482572240724,0.322431197754696
"Heart Lake N",2125,0.944444444444444,289.013333333333,0.9825,-0.0018818520357603,-0.382031757666497
"Hellroaring_Buffalo_3_2",-566.666666666667,-0.739130434782609,246.046666666667,0.924888888888889,-0.419350455129196,0.279738733718313
"Huck_Berry_1_2",3200,0.6,300.783333333333,1.05744444444444,-0.0282464747952444,0.318204709917404
"Huck_Berry_2_1",196833.333333333,0.992937615604506,300.783333333333,1.05744444444444,-0.0282464747952444,0.318204709917404
"IronMountain_Derby_1_1",8866.66666666667,0.866449511400652,383.706666666667,1.10288888888889,0.028576489926541,0.33289438081888
"IronMountain_Derby_1_5",13700,0.917410714285714,383.706666666667,1.10288888888889,0.028576489926541,0.33289438081888
"Madison Junct",34375,0.698678861788618,294.866666666667,1.02888888888889,0.156961146514338,-0.29719671588518
"Mystic_BearpawBay_1_1",8133.33333333333,0.709302325581395,345.693333333333,1.13233333333333,0.541146196306389,0.0620304799912704
"Mystic_BearpawBay_2_3",145933.333333333,0.986036036036036,345.693333333333,1.13233333333333,0.541146196306389,0.0620304799912704
"NorthFork_Cygnet_1_1",1300,0.274647887323943,262.636666666667,0.931333333333333,-0.188426796967293,-0.0568572037074729
"NorthFork_Cygnet_2_2",2866.66666666666,0.361344537815125,262.636666666667,0.931333333333333,-0.188426796967293,-0.0568572037074729
"NorthFork_Maple_4_4",125000,0.910857420451785,347.343333333333,1.25744444444444,-0.258074952565389,0.346655913765916
"NorthFork_Maple_6_6",136966.666666667,0.929007460999321,347.343333333333,1.25744444444444,-0.258074952565389,0.346655913765916
"NorthFork_Owl_2_1",1200,0.473684210526317,266.14,0.950888888888889,-0.162249023816564,-0.354629999915824
"Pelican_LeHardy_1_5",-7499.99999999999,-2.29591836734693,260.06,0.920444444444445,-0.262457947732684,-0.581225573002617
"Rathbone_BaconRind_1_5",33.333333333333,0.019230769230769,290.403333333333,1.01677777777778,0.013665375914294,0.259446372815236
"Waterfalls_Moran_1_1",333.333333333334,0.4,309.933333333333,1.06,0.630617713493675,0.848750956331593
"WestYell",4725,0.945,343.051666666667,1.24194444444444,0.157926779740303,-0.3127076308584
"Wilcox_Berry_1_1",6200,0.93,294.41,1.02633333333333,0.0118790142900666,0.341803904652802
