"Plot_code","Fire_year_2","ann_def_mm_norm","summer_vpd_kpa_norm","anom_def_mm","anom_def_zscore","anom_summer_vpd_kpa","anom_summer_vpd_zscore"
"Mystic_BearpawBay_1_1_short_0",2009,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"Mystic_BearpawBay_1_1_long_1",2009,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"Wilcox_Berry_1_1_short_0",2016,294.41,1.02633333333333,0.956666666666649,0.0118790142900666,0.0603333333333333,0.341803904652802
"Wilcox_Berry_1_1_long_2",2016,294.41,1.02633333333333,0.956666666666649,0.0118790142900666,0.0603333333333333,0.341803904652802
"Waterfalls_Moran_1_1_short_0",2000,309.933333333333,1.06,53.3333333333334,0.630617713493675,0.155555555555555,0.848750956331593
"Waterfalls_Moran_1_1_long_3",2000,309.933333333333,1.06,53.3333333333334,0.630617713493675,0.155555555555555,0.848750956331593
"Glade_Berry_1_1_short_0",2016,303.743333333333,1.07222222222222,-7.47666666666663,-0.0875290324187168,0.0600000000000001,0.324129498838679
"Glade_Berry_1_1_long_2",2016,307.233333333333,1.08788888888889,-5.06666666666666,-0.0594361120627313,0.0598888888888889,0.320732896670714
"Glade_Berry_4_4_short_0",2016,303.743333333333,1.07222222222222,-7.47666666666663,-0.0875290324187168,0.0600000000000001,0.324129498838679
"Glade_Berry_4_4_long_2",2016,307.233333333333,1.08788888888889,-5.06666666666666,-0.0594361120627313,0.0598888888888889,0.320732896670714
"Huck_Berry_2_1_short_0",2016,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"Huck_Berry_2_1_long_1",2016,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"Huck_Berry_1_2_short_0",2016,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"Huck_Berry_1_2_long_2",2016,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"Mystic_BearpawBay_2_3_short_0",2009,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"Mystic_BearpawBay_2_3_long_3",2009,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"NFork_Maple_4_4_short_0",2016,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"NFork_Maple_4_4_long_1",2016,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"NFork_Maple_6_6_short_0",2016,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"NFork_Maple_6_6_long_1",2016,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"Pelican_LeHardy_1_5_short_0",2008,260.06,0.920444444444445,-20.86,-0.262457947732684,-0.0926666666666667,-0.581225573002617
"Pelican_LeHardy_1_5_long_1",2008,260.06,0.920444444444445,-20.86,-0.262457947732684,-0.0926666666666667,-0.581225573002617
"NFork_Cygnet_1_1_short_0",2012,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NFork_Cygnet_1_1_long_3",2012,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NFork_Cygnet_2_2_short_0",2012,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NFork_Cygnet_2_2_long_2",2012,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NFork_Owl_2_1_short_0",2007,266.14,0.950888888888889,-12.8066666666667,-0.162249023816564,-0.0564444444444444,-0.354629999915824
"NFork_Owl_2_1_long_1",2007,266.14,0.950888888888889,-12.8066666666667,-0.162249023816564,-0.0564444444444444,-0.354629999915824
"Clover_LeHardy_1_1_short_0",2008,250.953333333333,0.901222222222222,-16.32,-0.208172996999833,-0.0901111111111111,-0.579821153575332
"Clover_LeHardy_1_1_long_2",2008,250.953333333333,0.901222222222222,-16.32,-0.208172996999833,-0.0901111111111111,-0.579821153575332
"Clover_Dewdrop_2_3_short_0",2012,244.816666666667,0.892666666666667,-10.9166666666667,-0.139645382040648,-0.00933333333333342,-0.06064622466623
"Clover_Dewdrop_2_3_long_1",2012,244.816666666667,0.892666666666667,-10.9166666666667,-0.139645382040648,-0.00933333333333342,-0.06064622466623
"Astringent_Tern_1_2_short_0",1994,283.433333333333,0.960777777777778,-70.9666666666667,-0.884412100177611,-0.121888888888889,-0.729697791536291
"Astringent_Tern_1_2_long_2",1994,283.433333333333,0.960777777777778,-70.9666666666667,-0.884412100177611,-0.121888888888889,-0.729697791536291
"Clover_East_1_1_short_0",2003,289.67,0.968444444444444,2.26333333333332,0.028103452395381,0.0782222222222222,0.463652524924782
"Clover_East_1_1_long_1",2003,294.633333333333,0.963777777777778,2.5,0.0310539262886676,0.0784444444444443,0.464370012059424
"Rathbone_BaconRind_1_5_short_0",2018,290.403333333333,1.01677777777778,1.09666666666664,0.013665375914294,0.0443333333333333,0.259446372815236
"Rathbone_BaconRind_1_5_long_1",2018,290.403333333333,1.01677777777778,1.09666666666664,0.013665375914294,0.0443333333333333,0.259446372815236
