"Plot_code","Fire_year_2","ann_def_mm_pf1","ann_def_mm_pf2","ann_def_mm_pf3","summer_vpd_kpa_pf3","spring_soilmoist_mm_pf3","max_temp_C_pf3","min_soilmoist_mm_pf3","grow_avg_temp_C_pf3","grow_prec_mm_pf3","ann_def_mm_norm","summer_vpd_kpa_norm","spring_soilmoist_mm_norm","max_temp_C_norm","min_soilmoist_mm_norm","grow_avg_temp_C_norm","grow_prec_mm_norm"
"Mystic_BearpawBay_1_1_short_0",2009,272.4,321,394.266666666667,1.14444444444444,90.1666666666667,26.4366666666667,22.4666666666667,11.4243333333333,178.133333333333,345.693333333333,1.13233333333333,94.4133333333333,26.413,22.2066666666667,11.5937666666667,208.636666666667
"Mystic_BearpawBay_1_1_long_1",2009,272.4,321,394.266666666667,1.14444444444444,90.1666666666667,26.4366666666667,22.4666666666667,11.4243333333333,178.133333333333,345.693333333333,1.13233333333333,94.4133333333333,26.413,22.2066666666667,11.5937666666667,208.636666666667
"Wilcox_Berry_1_1_short_0",2016,282.4,300.65,295.366666666667,1.08666666666667,93.1555555555556,25.5666666666667,22.1333333333333,10.5266666666667,226.1,294.41,1.02633333333333,84.6622222222222,24.748,21.95,10.3044,229.936666666667
"Wilcox_Berry_1_1_long_2",2016,282.4,300.65,295.366666666667,1.08666666666667,93.1555555555556,25.5666666666667,22.1333333333333,10.5266666666667,226.1,294.41,1.02633333333333,84.6622222222222,24.748,21.95,10.3044,229.936666666667
"Waterfalls_Moran_1_1_short_0",2000,379.3,356.8,363.266666666667,1.21555555555556,87.1888888888889,26.9366666666667,21.6333333333333,11.3703333333333,171.033333333333,309.933333333333,1.06,92.0188888888889,25.2926666666667,22.57,10.7848666666667,226.353333333333
"Waterfalls_Moran_1_1_long_3",2000,379.3,356.8,363.266666666667,1.21555555555556,87.1888888888889,26.9366666666667,21.6333333333333,11.3703333333333,171.033333333333,309.933333333333,1.06,92.0188888888889,25.2926666666667,22.57,10.7848666666667,226.353333333333
"Glade_Berry_1_1_short_0",2016,285.1,300.75,296.266666666667,1.13222222222222,95.0888888888889,26.6,21.6,11.2033333333333,237.3,303.743333333333,1.07222222222222,87.4422222222222,25.8196666666667,20.9933333333333,10.9978,236.91
"Glade_Berry_1_1_long_2",2016,289.1,306.4,302.166666666667,1.14777777777778,96.3777777777778,26.7666666666667,21.6333333333333,11.2633333333333,233.366666666667,307.233333333333,1.08788888888889,87.8733333333333,26.0113333333333,21.1533333333333,11.0582,233.936666666667
"Glade_Berry_4_4_short_0",2016,285.1,300.75,296.266666666667,1.13222222222222,95.0888888888889,26.6,21.6,11.2033333333333,237.3,303.743333333333,1.07222222222222,87.4422222222222,25.8196666666667,20.9933333333333,10.9978,236.91
"Glade_Berry_4_4_long_2",2016,289.1,306.4,302.166666666667,1.14777777777778,96.3777777777778,26.7666666666667,21.6333333333333,11.2633333333333,233.366666666667,307.233333333333,1.08788888888889,87.8733333333333,26.0113333333333,21.1533333333333,11.0582,233.936666666667
"Huck_Berry_2_1_short_0",2016,286.1,303.45,298.466666666667,1.11555555555556,91.3888888888889,26.3333333333333,21.4,10.9466666666667,231.633333333333,300.783333333333,1.05744444444444,84.1033333333333,25.535,21.1266666666667,10.7309333333333,232.273333333333
"Huck_Berry_2_1_long_1",2016,286.1,303.45,298.466666666667,1.11555555555556,91.3888888888889,26.3333333333333,21.4,10.9466666666667,231.633333333333,300.783333333333,1.05744444444444,84.1033333333333,25.535,21.1266666666667,10.7309333333333,232.273333333333
"Huck_Berry_1_2_short_0",2016,286.1,303.45,298.466666666667,1.11555555555556,91.3888888888889,26.3333333333333,21.4,10.9466666666667,231.633333333333,300.783333333333,1.05744444444444,84.1033333333333,25.535,21.1266666666667,10.7309333333333,232.273333333333
"Huck_Berry_1_2_long_2",2016,286.1,303.45,298.466666666667,1.11555555555556,91.3888888888889,26.3333333333333,21.4,10.9466666666667,231.633333333333,300.783333333333,1.05744444444444,84.1033333333333,25.535,21.1266666666667,10.7309333333333,232.273333333333
"Mystic_BearpawBay_2_3_short_0",2009,272.4,321,394.266666666667,1.14444444444444,90.1666666666667,26.4366666666667,22.4666666666667,11.4243333333333,178.133333333333,345.693333333333,1.13233333333333,94.4133333333333,26.413,22.2066666666667,11.5937666666667,208.636666666667
"Mystic_BearpawBay_2_3_long_3",2009,272.4,321,394.266666666667,1.14444444444444,90.1666666666667,26.4366666666667,22.4666666666667,11.4243333333333,178.133333333333,345.693333333333,1.13233333333333,94.4133333333333,26.413,22.2066666666667,11.5937666666667,208.636666666667
"NFork_Maple_4_4_short_0",2016,330.9,335.55,325.8,1.32444444444444,80.0888888888889,28.2666666666667,16.5333333333333,12.6033333333333,256.8,347.343333333333,1.25744444444444,71.1488888888889,27.5086666666667,16.2633333333333,12.4761666666667,245.756666666667
"NFork_Maple_4_4_long_1",2016,330.9,335.55,325.8,1.32444444444444,80.0888888888889,28.2666666666667,16.5333333333333,12.6033333333333,256.8,347.343333333333,1.25744444444444,71.1488888888889,27.5086666666667,16.2633333333333,12.4761666666667,245.756666666667
"NFork_Maple_6_6_short_0",2016,330.9,335.55,325.8,1.32444444444444,80.0888888888889,28.2666666666667,16.5333333333333,12.6033333333333,256.8,347.343333333333,1.25744444444444,71.1488888888889,27.5086666666667,16.2633333333333,12.4761666666667,245.756666666667
"NFork_Maple_6_6_long_1",2016,330.9,335.55,325.8,1.32444444444444,80.0888888888889,28.2666666666667,16.5333333333333,12.6033333333333,256.8,347.343333333333,1.25744444444444,71.1488888888889,27.5086666666667,16.2633333333333,12.4761666666667,245.756666666667
"Pelican_LeHardy_1_5_short_0",2008,229.5,219.3,239.2,0.827777777777778,52.5333333333333,21.83,19.3333333333333,8.64266666666667,260.233333333333,260.06,0.920444444444445,64.0344444444444,23.111,18.9166666666667,9.245,248.763333333333
"Pelican_LeHardy_1_5_long_1",2008,229.5,219.3,239.2,0.827777777777778,52.5333333333333,21.83,19.3333333333333,8.64266666666667,260.233333333333,260.06,0.920444444444445,64.0344444444444,23.111,18.9166666666667,9.245,248.763333333333
"NFork_Cygnet_1_1_short_0",2012,259.3,211.55,247.9,0.922222222222222,72.2555555555556,23.4366666666667,19.0666666666667,9.969,275.533333333333,262.636666666667,0.931333333333333,67.9577777777778,23.3563333333333,19.71,9.43183333333333,247.17
"NFork_Cygnet_1_1_long_3",2012,259.3,211.55,247.9,0.922222222222222,72.2555555555556,23.4366666666667,19.0666666666667,9.969,275.533333333333,262.636666666667,0.931333333333333,67.9577777777778,23.3563333333333,19.71,9.43183333333333,247.17
"NFork_Cygnet_2_2_short_0",2012,259.3,211.55,247.9,0.922222222222222,72.2555555555556,23.4366666666667,19.0666666666667,9.969,275.533333333333,262.636666666667,0.931333333333333,67.9577777777778,23.3563333333333,19.71,9.43183333333333,247.17
"NFork_Cygnet_2_2_long_2",2012,259.3,211.55,247.9,0.922222222222222,72.2555555555556,23.4366666666667,19.0666666666667,9.969,275.533333333333,262.636666666667,0.931333333333333,67.9577777777778,23.3563333333333,19.71,9.43183333333333,247.17
"NFork_Owl_2_1_short_0",2007,309.9,283.25,253.333333333333,0.894444444444444,52.1888888888889,22.0733333333333,17.6666666666667,8.94433333333333,255.066666666667,266.14,0.950888888888889,59.7366666666667,23.4903333333333,17.39,9.5342,261.723333333333
"NFork_Owl_2_1_long_1",2007,309.9,283.25,253.333333333333,0.894444444444444,52.1888888888889,22.0733333333333,17.6666666666667,8.94433333333333,255.066666666667,266.14,0.950888888888889,59.7366666666667,23.4903333333333,17.39,9.5342,261.723333333333
"Clover_LeHardy_1_1_short_0",2008,225.5,214.2,234.633333333333,0.811111111111111,51.4888888888889,21.3866666666667,18.9,8.34533333333333,260.933333333333,250.953333333333,0.901222222222222,61.49,22.671,18.9633333333333,8.94456666666667,250.03
"Clover_LeHardy_1_1_long_2",2008,225.5,214.2,234.633333333333,0.811111111111111,51.4888888888889,21.3866666666667,18.9,8.34533333333333,260.933333333333,250.953333333333,0.901222222222222,61.49,22.671,18.9633333333333,8.94456666666667,250.03
"Clover_Dewdrop_2_3_short_0",2012,252.2,201.2,233.9,0.883333333333333,68.9888888888889,22.6366666666667,18.8333333333333,9.35566666666667,284.733333333333,244.816666666667,0.892666666666667,61.2977777777778,22.556,19.3233333333333,8.8303,255.2
"Clover_Dewdrop_2_3_long_1",2012,252.2,201.2,233.9,0.883333333333333,68.9888888888889,22.6366666666667,18.8333333333333,9.35566666666667,284.733333333333,244.816666666667,0.892666666666667,61.2977777777778,22.556,19.3233333333333,8.8303,255.2
"Astringent_Tern_1_2_short_0",1994,178.2,261.5,212.466666666667,0.838888888888889,64.6111111111111,22.7133333333333,18.0333333333333,9.49266666666667,286.566666666667,283.433333333333,0.960777777777778,66.8366666666667,23.9366666666667,17.2533333333333,9.85946666666667,241.953333333333
"Astringent_Tern_1_2_long_2",1994,178.2,261.5,212.466666666667,0.838888888888889,64.6111111111111,22.7133333333333,18.0333333333333,9.49266666666667,286.566666666667,283.433333333333,0.960777777777778,66.8366666666667,23.9366666666667,17.2533333333333,9.85946666666667,241.953333333333
"Clover_East_1_1_short_0",2003,245.6,247.65,291.933333333333,1.04666666666667,71.3666666666667,24.6666666666667,18.0333333333333,9.83966666666667,241.366666666667,289.67,0.968444444444444,68.4188888888889,24.0493333333333,17.4733333333333,9.9905,233.723333333333
"Clover_East_1_1_long_1",2003,250.8,253.35,297.133333333333,1.04222222222222,70.2222222222222,24.4833333333333,17.6333333333333,9.78366666666667,236.566666666667,294.633333333333,0.963777777777778,67.5477777777778,23.9263333333333,17.2,9.9402,228.326666666667
"Rathbone_BaconRind_1_5_short_0",2018,220,270.35,291.5,1.06111111111111,61.1888888888889,25.3,17.8333333333333,11.0666666666667,246.266666666667,290.403333333333,1.01677777777778,69.1344444444445,24.708,17.45,10.5295,255.166666666667
"Rathbone_BaconRind_1_5_long_1",2018,220,270.35,291.5,1.06111111111111,61.1888888888889,25.3,17.8333333333333,11.0666666666667,246.266666666667,290.403333333333,1.01677777777778,69.1344444444445,24.708,17.45,10.5295,255.166666666667
"Hellroaring_Buffalo_3_2_short_0",2016,253.4,241.4,213.9,0.968888888888889,67.4888888888889,23.9333333333333,21.9,9.30333333333333,288.033333333333,246.046666666667,0.924888888888889,63.7755555555556,23.2906666666667,20.8166666666667,9.24026666666667,259.686666666667
"Hellroaring_Buffalo_3_2_long_1",2016,253.4,241.4,213.9,0.968888888888889,67.4888888888889,23.9333333333333,21.9,9.30333333333333,288.033333333333,246.046666666667,0.924888888888889,63.7755555555556,23.2906666666667,20.8166666666667,9.24026666666667,259.686666666667
"IronMtn_Derby_1_1_short_0",2006,418.8,404.75,386.6,1.16222222222222,24.1444444444444,25.8266666666667,4.1,12.136,283.333333333333,383.706666666667,1.10288888888889,24.16,25.681,4.47333333333333,11.9450333333333,288.81
"IronMtn_Derby_1_1_long_1",2006,418.8,404.75,386.6,1.16222222222222,24.1444444444444,25.8266666666667,4.1,12.136,283.333333333333,383.706666666667,1.10288888888889,24.16,25.681,4.47333333333333,11.9450333333333,288.81
"IronMtn_Derby_1_5_short_0",2006,418.8,404.75,386.6,1.16222222222222,24.1444444444444,25.8266666666667,4.1,12.136,283.333333333333,383.706666666667,1.10288888888889,24.16,25.681,4.47333333333333,11.9450333333333,288.81
"IronMtn_Derby_1_5_long_2",2006,418.8,404.75,386.6,1.16222222222222,24.1444444444444,25.8266666666667,4.1,12.136,283.333333333333,383.706666666667,1.10288888888889,24.16,25.681,4.47333333333333,11.9450333333333,288.81
"WestYell_6290",1988,373,361.85,352.533333333333,1.15888888888889,73.2111111111111,27.3633333333333,15.7333333333333,12.2566666666667,236.966666666667,339.213333333333,1.21966666666667,77.0844444444444,27.3136666666667,17.4233333333333,12.3381,244.686666666667
"WestYell_6291",1988,382.7,370.5,360.766666666667,1.20333333333333,71.1666666666667,27.7366666666667,15.2,12.5113333333333,238.8,346.89,1.26422222222222,74.6777777777778,27.7016666666667,16.89,12.5804333333333,245.95
"Arrow_6300",1988,323.7,308.5,298.3,0.935555555555556,68.2,24.4566666666667,16.6333333333333,10.0843333333333,238.433333333333,283.003333333333,0.976,70.4144444444444,24.2923333333333,18.36,10.0596666666667,244.053333333333
